nome;frequencia;no_casos
DORNELES;20;1
EDNA;20;1
ERALDO;20;1
FABIANA;20;1
FELISMINO;20;1
FERNADES;20;1
FIRMINA;20;1
FIUZA;20;1
FLORINDA;20;1
FLORINDO;20;1
GILMAR;20;1
IVONETE;20;1
JOVENTINO;20;1
LADISLAU;20;1
LUSTOSA;20;1
MAXIMINO;20;1
NAIR;20;1
PALMA;20;1
PINA;20;1
PONCIANO;20;1
PRAXEDES;20;1
ROMEU;20;1
ROSANA;20;1
RUI;20;1
SOLIDADE;20;1
VAGNER;20;1
VALDIVINO;20;1
VITA;20;1
AMILTON;19;1
ANCHIETA;19;1
ANTENOR;19;1
AUREA;19;1
BARCELLOS;19;1
BELLO;19;1
CAIRES;19;1
CASIMIRO;19;1
COLARES;19;1
DANILO;19;1
DIEGO;19;1
DULCE;19;1
DUQUE;19;1
EL;19;1
ELPIDIO;19;1
FELISBERTO;19;1
GENUINO;19;1
JULIETA;19;1
MAFRA;19;1
MAMEDE;19;1
MARI;19;1
MICHEL;19;1
MONICA;19;1
MORALES;19;1
PRISCILA;19;1
ROBERT;19;1
ROSENO;19;1
SANDRA;19;1
SOTERO;19;1
TOSTA;19;1
VALENTIN;19;1
VELLOSO;19;1
ALVINA;18;1
ALVINO;18;1
AMADEU;18;1
AMADOR;18;1
ARANHA;18;1
ASSUMPCAO;18;1
BELA;18;1
BELARMINA;18;1
BERNADINO;18;1
BERTOLDO;18;1
BESSA;18;1
BRAS;18;1
BRIGIDA;18;1
CATARINO;18;1
DENIS;18;1
ENEAS;18;1
FELICIANA;18;1
FELIPPE;18;1
HILDA;18;1
HONORIA;18;1
JANE;18;1
JUAREZ;18;1
LAZARA;18;1
LEOCADIO;18;1
LOIOLA;18;1
MAGALHÂ¦ES;18;1
MANHAES;18;1
MARGARETE;18;1
MAURA;18;1
MOYSES;18;1
NCIO;18;1
NEIVA;18;1
NEWTON;18;1
NIA;18;1
NOEMIA;18;1
ODILON;18;1
OLAVO;18;1
OLINDINA;18;1
PLACIDO;18;1
POLICARPO;18;1
PROENCA;18;1
RENAN;18;1
ROSE;18;1
RUTH;18;1
SALVINO;18;1
SOFIA;18;1
SUZANA;18;1
UMBERTO;18;1
VAN;18;1
VASQUES;18;1
VILLA;18;1
ZULMIRA;18;1
AGRIPINO;17;1
ALAIDE;17;1
ALBERTINA;17;1
ALMIR;17;1
ANTAO;17;1
BACELAR;17;1
BARBIERI;17;1
CAETANA;17;1
CAITANO;17;1
CALADO;17;1
CAROLINO;17;1
CLAUDINA;17;1
CONSTANCIA;17;1
CUSTADIO;17;1
DARCI;17;1
DARIO;17;1
EDIVALDO;17;1
ESTEVAN;17;1
FELISMINA;17;1
FLORENTINA;17;1
GENEROSA;17;1
GENI;17;1
GIMENEZ;17;1
GLARIA;17;1
GONÂ¦ALVES;17;1
GONSALVES;17;1
GORETI;17;1
LEDA;17;1
LTCIO;17;1
MILANI;17;1
NAPOLEAO;17;1
PAIM;17;1
PECANHA;17;1
PENNA;17;1
PIERRE;17;1
PORTUGAL;17;1
ROSANE;17;1
SCHMIDT;17;1
SENHORINHA;17;1
SENNA;17;1
SOLANO;17;1
TARSO;17;1
UMBELINO;17;1
VILLAS;17;1
VITARIA;17;1
ABRAO;16;1
AGNALDO;16;1
ALESSANDRA;16;1
ANCELMO;16;1
AVELAR;16;1
BALTAZAR;16;1
BENJAMIN;16;1
CALISTO;16;1
CANTO;16;1
CARMEM;16;1
CARREIRA;16;1
CHRISTINA;16;1
CLEITON;16;1
CONSTANCIO;16;1
DIRCEU;16;1
DURVAL;16;1
ELEOTERIO;16;1
ELOY;16;1
ERNANI;16;1
ERNESTINA;16;1
FURLAN;16;1
GABRIELE;16;1
GADELHA;16;1
GEREMIAS;16;1
GORETTI;16;1
HELOISA;16;1
HERMINIA;16;1
HERMOGENES;16;1
ILDEFONSO;16;1
JOSUE;16;1
